Colegiado;Componente
7426;1977
8019;1977
76706;34034
76707;41298
76707;51562
3783;93600
76707;20606
76708;51933
95861;2846
76708;51910
76709;41334
76709;52436
2259;2981
95861;1696
76709;33731
76711;41300
76711;53831
76711;34179
76712;41341
76712;50995
50447;42670
76712;24482
76713;41285
76713;56773
119705;46
954;27
954;33032
954;304
954;244
954;32061
954;263
954;316
76713;21662
76715;41322
76715;52996
50447;42672
76715;41396
76716;41307
76716;54737
119705;3619
76716;34265
3417;24712
3417;1812
86245;429
76728;41313
76728;45827
50447;2837
76728;29468
76729;41270
76729;27707
50447;27
76729;49735
76730;41336
76730;53902
50447;76917
102336;48
76731;20198
76732;41308
76732;54960
85702;2981
76732;41393
76733;41281
76733;51373
119705;3620
76733;20262
76734;41292
76734;76902
119705;3621
76734;34162
76736;41324
43569;54793
76391;3231
76391;72573
76391;3234
76391;3272
76736;56323
119705;29029
76736;41397
76737;41282
76737;56654
84305;244
107112;1929
7881;1194
7881;1977
107376;2036
107376;40127
7603;1977
8657;1178
8657;1977
7603;1189
8065;1198
8065;1977
107376;3662
107376;75694
8409;5033
8409;1977
76737;41391
83289;2981
8445;5035
8445;1977
7591;1190
7591;1977
7869;1191
7869;1977
8385;1977
8097;1977
7742;1977
30135;1977
119705;70352
7694;1977
74537;55962
30711;1977
7788;1977
8707;1977
8707;1179
6510;1977
6510;3917
97;94
97;96
97;2209
97;131
83294;41359
84704;1930
33262;2852
33262;3162
33262;1929
33262;25281
76738;41384
4402;2844
29410;94
119705;69685
33400;2981
33400;1929
119705;29028
33401;185
76739;41301
33551;316
33551;185
33551;1929
33551;2846
33551;14
33551;304
33551;3162
33552;316
33552;185
33552;1929
33552;2846
33552;14
33552;304
33552;3162
33553;316
33553;185
33553;1929
33553;2846
33553;14
33553;304
33553;3162
69350;319
84172;2
71519;2831
9;27
76739;51421
33858;1799
33858;420
116376;421
94448;47313
1914;25
1914;11
1914;24712
1914;1812
24393;316
24393;263
24393;1929
24393;14
24393;304
24393;3162
24393;2981
24393;2837
24393;89
108150;2207
108150;36687
108154;8914
108156;46576
108156;315
123383;18
8019;1197
34198;1197
34198;8060
34198;8063
34198;34197
34198;8062
34198;30291
7173;1199
34286;1199
34286;1977
34286;7192
34286;7212
34286;30581
34286;7196
34286;30559
2159;421
123383;240
19039;2
84208;2043
84208;13959
8358;1204
34305;1204
34305;1977
34305;8361
34305;8366
34305;34304
34305;8365
1781;2837
8128;1977
8128;1207
104465;439
104463;244
104463;439
105052;244
105052;3561
105061;244
105061;94427
84208;2044
105062;94427
103678;244
103679;100918
103640;100903
103641;100903
105211;244
103618;100930
34326;1190
123383;25
123383;2114
123384;3200
123384;757
123384;3520
30157;5035
30157;8456
30157;8458
30157;8455
30157;8457
30157;30141
34334;1179
34334;8813
34334;33130
34334;8812
34334;30676
34330;1177
34261;1207
34261;8150
34261;8153
34261;34225
34261;8152
34261;34241
34330;6479
34330;6498
34330;34329
34330;6495
34330;34332
6476;1177
6476;1977
34336;1196
34336;7428
34336;7435
34336;32709
34336;7434
34336;34340
32937;5033
32937;32957
32937;8411
32937;8415
32937;34338
34349;1203
34349;32614
34349;8335
34349;8311
34349;8314
34349;34350
7657;1977
7657;1200
34355;1200
34355;7693
34355;7686
34355;34353
34355;34352
34355;7692
108156;14769
108156;416
108176;53
108176;9251
108176;9220
108176;9253
34366;1178
34366;8661
34366;8664
34366;34367
34366;8663
34366;34369
108176;9252
120216;91842
30813;1206
30813;1977
34363;1206
34363;34361
34363;30846
34363;30816
34363;30831
34363;30850
120216;87399
123384;2035
123384;3214
120216;120217
120216;120218
120216;104930
84208;3234
34344;3917
34344;7021
34344;7029
34344;34347
34344;7026
34344;26596
7788;1202
34382;1202
34382;7791
34382;7858
34382;32479
34382;7793
34382;32482
3319;1930
103618;244
103619;100930
103740;100910
103740;244
105322;456
105322;244
2042;4488
76793;41316
83289;1929
76793;41317
90439;14
84208;47229
34371;8080
34371;8068
34371;8081
34371;29629
34371;1198
30135;4324
73242;1926
80005;2852
80005;42672
80005;1927
80005;8838
34401;1195
34401;7170
34401;7167
34401;32334
34401;7169
1781;1929
7128;1195
105324;456
105386;58527
105386;86144
103811;100922
103811;103804
103811;103805
8097;1182
34404;1182
34404;8127
34404;8114
34404;33383
34404;8125
7913;4322
7913;1977
34412;1191
34412;7871
34412;7874
34412;34409
34412;7873
34412;34410
103811;103806
103811;103807
120216;80840
120391;36670
120391;2837
108437;91842
108437;89539
108437;415
68787;346
68787;462
68787;982
88837;240
88840;88844
89593;704
34455;223
34455;10
2766;304
72519;346
72519;48594
72519;20766
72519;1726
72519;21130
72519;426
89599;54793
1702;8
34419;1201
34419;7699
34419;7696
34419;34417
34419;7698
34419;34420
34489;1189
123384;81088
34489;88290
123384;18
120391;316
120391;41066
76739;20621
76740;53509
83289;2844
76740;53491
76741;41272
76741;49906
83289;41066
76741;41385
76742;41277
34376;1194
34376;7900
34376;29589
34376;7907
34376;7908
34376;29594
8677;1185
8677;1977
11731;244
77694;2844
3417;1988
76742;50667
83289;1930
75620;36995
75620;74079
75620;36687
75620;954
76742;41389
30711;4323
34618;4323
34618;30707
34618;30732
34618;34616
34618;30720
34669;470
4246;263
84303;88353
103988;91842
77694;75313
77694;42672
77694;14
77694;1945
77694;1929
77694;42670
77694;1988
77694;244
77694;42673
77694;72083
77694;73212
77694;2
2764;2981
32061;1929
99014;52702
103988;48214
77206;1988
1992;2033
1932;1949
319;263
1932;72084
75815;3162
76731;50509
77990;72083
72079;42672
72079;72083
76743;41293
76743;52293
9052;48
954;1801
76743;34170
76751;45614
83299;2837
76751;34164
76752;41320
76752;56447
9972;72084
954;1945
35685;2029
352;1929
352;14
4246;2981
352;17125
352;3162
352;2852
352;3159
352;171
487;94
84303;88751
105922;1988
105922;2981
105922;1929
13863;244
77694;91
36019;244
103811;103808
36019;451
36020;451
103811;1184
91556;3159
103811;1183
35620;1929
35620;235
35620;242
77694;93
36217;77
36217;324
36217;94
36217;48
36217;185
36256;1988
36256;2852
36256;25281
36256;8
36395;316
36395;185
36395;1929
36395;2846
36395;14
36395;304
36395;3162
36396;316
36396;185
36396;1929
36396;2846
36396;14
36396;304
36396;3162
36399;316
36399;185
36399;1929
36399;2846
36399;14
36399;304
36399;3162
36397;316
36397;185
36397;1929
36397;2846
36397;14
36397;304
36397;3162
36398;316
36398;185
36398;1929
36398;2846
36398;14
36398;304
36398;3162
8156;316
8156;1927
8156;1926
8156;304
8156;1929
8156;322
105922;1927
105922;3162
105922;2837
105922;42670
36603;294
36603;264
36603;2034
36603;3139
36603;3138
36603;1990
9674;3162
954;248
28282;25064
9674;1927
7656;7
37307;333
37307;304
70227;69961
70189;69961
70189;426
70189;1799
70183;70182
70185;70184
84305;304
70188;70187
70189;70190
70227;70226
72798;1799
72798;1812
72798;70564
72799;982
1658;12
73242;73212
1992;46876
16307;244
103857;60262
104955;453
104954;244
103811;103813
103811;103812
103811;440
103811;1185
105176;91751
105176;95984
37352;316
37352;263
37352;2844
37352;304
37352;244
37352;324
105176;32198
105176;105175
105176;95985
105176;105181
105176;105182
105176;105178
105176;105179
84303;72577
84303;72578
84303;72579
1557;42673
73035;2981
119223;91842
119223;1799
120961;115257
1557;1927
1557;2837
110100;44987
120961;2837
120961;14
120961;41066
12498;1930
93287;36687
12729;1930
94359;91624
12730;1930
105176;105180
9674;42670
9674;42672
75693;2
75693;14
75693;93
75693;263
76752;30315
76753;41321
76753;56495
83299;2981
76753;20651
37719;1799
37719;468
37720;1799
37720;468
37752;77
37752;3
68554;1988
110100;44396
110100;1799
110100;1929
110100;2981
110100;77409
3498;72083
89755;91144
4246;1988
89630;3200
89630;757
89630;3520
25323;447
25323;25324
25323;1977
25322;447
25322;25324
25322;25326
105922;14
